Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,Internal Colaboration,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Funded/Not funded,Number of Funders,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
44,22,Kenya,East Africa,2012,PLoS One,"Taxonomic identity of the invasive fruit fly pest, Bactrocera invadens: concordance in morphometry and DNA barcoding",1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya","Molecular Biology and Biotechnology Department, International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya",MBBD ICIPE Kenya,1,,Belgium,,,1,2,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,the German Ministry of Economic Cooperation and Development (BMZ),GMED,Germany,,,,
45,22,Kenya,East Africa,2008,Bull Entomol Res,Comparison of five allopatric fruit fly parasitoid populations (Psyttalia species) (Hymenoptera: Braconidae) from coffee fields using morphometric and molecular methods,1,Primary,1,1,,1,Tephritidae,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,UK,USA,,1,2,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,,,,Dutch Government (DSO),DSO,Germany,"International Foundation for Science (IFS), Sweden ",IFS,Sweden,,,,
46,22,Kenya,East Africa,2019,Sci Rep,Species-specific transcriptional profiles of the gut and gut microbiome of Ceratitis quilicii and Ceratitis rosa sensu stricto,1,Primary,1,1,,0,Tephritidae,,0,5,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Agricultural and Livestock Research Organization, Kenya",ALRO Kenya,"Kenya Medical Research Institute, Kenya",KMRI Kenya,,,Italy,,,1,6,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,Kenyan Government,KG,Kenya,"International Centre of Insect Physiology and Ecology Nairobi, Kenya",ICPE,Kenya,UK Aid (UK Government),UA,KK,Swedish International Development Cooperation Agency,SIDCA,Sweden,
47,22,Kenya,East Africa,2003,J Invertebr Pathol,Effect of soil temperature and moisture on survival and infectivity of Metarhizium anisopliae to four tephritid fruit fly puparia,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,,1,1,1,"IFAD, Kenya",IFAD Kenya,Kenya,,,,,,,,,,,,,
48,22,Kenya,East Africa,2015,Vector Borne Zoonotic Dis,Isolation of Candidatus Rickettsia asemboensis from Ctenocephalides Fleas,1,Primary,1,0,"Drosophila Genomics Resource Center; Bloomington, IN",1,Drosophilidae,,0,2,0,"Kenya Medical Research Institute Kisumu, Kenya",KMRI Kenya,,,,,1,,Maryland,,,1,1,0,,,,,,,,,,,,,,,,
49,22,Kenya,East Africa,2006,Bull Entomol Res,"Contribution of natural food sources to reproductive behaviour, fecundity and longevity of Ceratitis cosyra, C. fasciventris and C. capitata (Diptera: Tephritidae)",1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,Mauritius,,,,1,2,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,,,,,,,
50,22,Kenya,East Africa,2011,J Econ Entomol,Cold susceptibility and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in oranges,1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,South Africa,,,,1,2,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,,,,,,,,,,,,,
51,22,Kenya,East Africa,2000,Bull Entomol Res,"Parasitoids of medfly, Ceratitis capitata, and related tephritids in Kenyan coffee: a predominantly koinobiont assemblage",1,Primary,1,1,,0,Tephritidae,,0,4,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,USA,,,1,6,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,Tropical and Subtropical Agriculture Research ,TSTAR,USA,Caribbean Basin Administrative Group,CBAGG,,USDA/NRI,USDA/NRI,USA,
52,22,Kenya,East Africa,2014,J Econ Entomol,Comparison of food-based attractants for Bactrocera invadens (Diptera: Tephritidae) and evaluation of mazoferm-spinosad bait spray for field suppression in mango,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,,1,1,2,,,,,,,The German Ministry for Economic Cooperation and Development (BMZ),GMECD,Germany,,,,,,,
53,30,Mauritius,East Africa,2014,J Insect Sci,Effect of Metarhizium anisopliae on the fertility and fecundity of two species of fruit flies and horizontal transmission of mycotic infection,1,Primary,1,1,,0,Tephritidae,"Sookar P, Bhagwant S, Allymamod MN.",0,2,1,"Ministry of Agro Industry & Food Security Republic of, Mauritius",MOAIFS Mauritius,"University of Mauritius, Republic of Mauritius",UOM Mauritius,,,,,,,,1,,1,"Tertiary Education Commission, the University of Mauritius","TECUM, Mauritus",Mauritus,"Ministry of Agro Industry & Food Security, Republic of Mauritius ",MAIFSR Mauritius,Mauritius,,,,,,,,,,
54,30,Mauritius,East Africa,2014,Asian Pac J Trop Med. 2014 Sep;7S1:S384-90. doi: 10.1016/S1995-7645(14)60263-7.,"A comparison of polyphenolic content, antioxidant activity and insecticidal properties of Jatropha species and wild Ricinus communis L. found in Mauritius",1,Primary,1,1,,0,Tephritidae,"Rampadarath S, Puchooa D, Ranghoo-Sanmukhiya VM.",0,1,0,"University of Mauritius, Republic of Mauritius",UOM Mauritius,,,,,,,,,,1,,1,University of Mauritius,UM  Mauritius,Mauritus,"Ministry of Agro Industry & Food Security, Republic of Mauritius ",MAIFSR Mauritius,Mauritius,,,,,,,,,,
55,31,Morocco,North Africa,2003,Insect Biochem Mol Biol. 2003 Jul;33(7):691-9. doi: 10.1016/s0965-1748(03)00063-8.,The dual function of ovo/shavenbaby in germline and epidermis differentiation is conserved between Drosophila melanogaster and the olive fruit fly Bactrocera oleae,1,Primary,0,1,,1,Drosophilidae,"Khila A, El Haidani A, Vincent A, Payre F, Souda SI.",0,1,0,"Universite´ Sidi Mohammed Ben Abdellah, Morocco",USMB Morocco,,,,,1,,France,,,0,,3,Comite´ Mixte Inter-Universitaire Franco-Marocain,CMIU Morocco,Morocco,Association for Cancer Research,APRCC,,Universite´ Paul Sabatier,UPS,France,,,,,,,
56,31,Morocco,North Africa,2017,Bull Entomol Res. 2017 Apr;107(2):217-224. doi: 10.1017/S000748531600078X.,"Insecticidal activity of a Moroccan strain of Streptomyces phaeochromogenes LD-37 on larvae, pupae and adults of the Mediterranean fruit fly, Ceratitis capitata (Diptera: Tephritidae)",1,Primary,1,1,,0,Tephritidae,"Samri SE, Baz M, Ghalbane I, El Messoussi S, Zitouni A, El Meziane A, Barakate M.",0,1,0,"Cadi Ayyad University, Morocco",,,,,,1,,Algeria,,,0,,3,Ministry of Higher Education of Morocco,MHEM Morocco,Morocco,,,,German Academic Exchange Service,GAES,Germany,,,,,,,
57,31,Morocco,North Africa,2019,Physiol Mol Biol Plants. 2019 Nov;25(6):1407-1418. doi: 10.1007/s12298-019-00713-0. Epub 2019 Oct 19.,Changes in grapes composition during ripening of five Vitis vinifera L varieties as related to Tephritidae and Drosophilidae infestations,1,Primary,1,1,,0,Drosophilidae,"Jediyi H, Naamani K, Ait Elkoch A, Lemjiber N.",0,1,0,"Cadi Ayyad University, Morocco",CA Morocco,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
58,31,Morocco,North Africa,2008,J Genet. 2008 Dec;87(4):373-82. doi: 10.1007/s12041-008-0060-0.,"Quantitative morphometrical analysis of a North African population of Drosophila melanogaster: sexual dimorphism, and comparison with European populations",1,Primary,1,1,,0,Drosophilidae,"Chakir M, Negoua H, Moreteau B, David JR.",0,1,0,"Universit´e Cadi Ayyad, Morocco",UC Morocco,,,,,1,,France,,,0,,2,,,,,,,PICS between French CNRS and Moroccan CNRST,CNRS,France,,,,,,,
59,31,Morocco,North Africa,2014,World J Microbiol Biotechnol. 2014 Mar;30(3):959-65. doi: 10.1007/s11274-013-1514-y.,Pathogenicity of Beauveria bassiana isolated from Moroccan Argan forests soil against larvae of Ceratitis capitata (Diptera: Tephritidae) in laboratory conditions,1,Primary,1,1,,0,Tephritidae,"Imoulan A, Elmeziane A.",0,1,0,"Cadi Ayyad University, Morocco",IS Morocco,,,,,,,,,,0,,2,,,,,,,PROTARS II grant,,,CNRST,CNRST,Morocco,,,,
60,31,Morocco,North Africa,2003,Food Chem Toxicol. 2003 Jan;41(1):41-7. doi: 10.1016/s0278-6915(02)00216-8.,Antimutagenic properties of bell and black peppers,1,Primary,1,0,,1,Drosophilidae,"El Hamss R, Idaomar M, Alonso-Moraga A, MuÃ±oz Serrano A.",0,1,0,"University Abdelmalek Essaâdi, Morocco","UA Essaâdi, Morocco",,,,,1,,Spain,,,0,,1,Ministry of Higher Education,MHE Morocco,Morocco,"Scientific Research of Moroccan Kingdom, PROTARS",SRMK PROTARS Morocco,Morocco,,,,,,,,,,
61,31,Morocco,North Africa,2007,Mutat Res. 2007 May 18;629(2):100-10. doi: 10.1016/j.mrgentox.2007.01.011. Epub 2007 Mar 1.,Investigation of the mutagenic and antimutagenic effects of Origanum compactum essential oil and some of its constituents,1,Primary,1,0,,1,Drosophilidae,"Mezzoug N, Elhadri A, Dallouh A, Amkiss S, Skali NS, Abrini J, Zhiri A, Baudoux D, Diallo B, El Jaziri M, Idaomar M.",0,1,0,"University Abdelmalek Essaâdi, Morocco","UA Essaâdi, Morocco",,,,,1,,Belgium,,,0,,2,,,,,,,PRANAROM International Company,PRANAROM IC,Belgium,"Ministry of Wallone region, Belgium",MWRB,Belgium,,,,
62,31,Morocco,North Africa,2002,Mutat Res. 2002 Jan 15;513(1-2):61-8. doi: 10.1016/s1383-5718(01)00287-x.,Genotoxicity and antigenotoxicity of some essential oils evaluated by wing spot test of Drosophila melanogaster,1,Primary,1,0,,1,Drosophilidae,"Idaomar M, El-Hamss R, Bakkali F, Mezzoug N, Zhiri A, Baudoux D, MuÃ±oz-Serrano A, Liemans V, Alonso-Moraga A.",0,1,0,"University Abdelmalek Essaâdi, Morocco","UA Essaâdi, Morocco",,,,,2,,Belgium,Spain,,0,,2,,,,,,,PRANAROM International Company,PRANAROM IC,Belgium,"Ministry of Wallone region, Belgium",MWRB,Belgium,,,,
63,31,Morocco,North Africa,2002,Ann Trop Med Parasitol. 2002 Sep;96(6):587-93. doi: 10.1179/000349802125001447.,Potential of Origanum compactum as a cercaricide in Morocco,1,Primary,1,1,,0,Drosophilidae,Lahlou M.,0,1,0,"Hassan II University Ain Chock, Morocco","HUA Ain Chock, Morocco",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
64,31,Morocco,North Africa,1999,Mutat Res. 1999 Oct 29;446(1):135-9. doi: 10.1016/s1383-5718(99)00140-0.,A dose dependent anti-genotoxic effect of turmeric,1,Primary,1,0,,1,Drosophilidae,"el Hamss R, Analla M, Campos-Sanchez J, Alonso-Moraga A, MuÃ±oz-Serrano A, Idaomar M.",0,1,0,"University Abdelmalek Essaâdi, Morocco","UA Essaâdi, Morocco",,,,,1,,Spain,,,0,,3,Program for Supporting Scientific Investigation PARS of the Moroccan Government,PSSI PARSMG Morocco,Morocco,,,,Spanish Agency for International Co-operation (AECI),AECI,Spain,,,,,,,
65,31,Morocco,North Africa,2017,Zookeys. 2017 Sep 26;(702):137-171. doi: 10.3897/zookeys.702.13368. eCollection 2017.,"First checklist of the fruit flies of Morocco, including new records (Diptera, Tephritidae)",1,Primary,1,1,,0,Tephritidae,"Harym YE, Belqat B.",0,1,0,"University Abdelmalek Essaâdi, Morocco","UA Essaâdi, Morocco",,,,,1,,Ukraine,,,0,,0,,,,,,,,,,,,,,,,
66,32,Mozambique,East Africa,2017,Toxicon,Evading plant defence: Infestation of poisonous milkweed fruits (Asclepiadaceae) by the fruit fly Dacus siliqualactis (Diptera: Tephritidae),1,Primary,1,1,,0,Tephritidae,"Schneider M, Wunder C, Reuss E, Toennes SW, Mebs D.",0,1,0, Eduardo Mondlane University  Mozambique,EMU  Mozambique,,,,,1,,Germany,,,1,,2,,,,,,,"Centrum für Internationale Migration und Entwicklung (CIM), Frankfurt, Germany",CIME ,Germany,,,,,,,
67,35,Nigeria,West Africa,2018,Biochem Biophys Res Commun. 2018 Sep 5;503(2):1042-1048. doi: 10.1016/j.bbrc.2018.06.114. Epub 2018 Jun 27.,"Resveratrol prolongs lifespan and improves 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced oxidative damage and behavioural deficits in Drosophila melanogaster",1,Primary,1,0,USA,0,Drosophilidae,"Abolaji AO, Adedara AO, Adie MA, Vicente-Crespo M, Farombi EO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,2,,Uganda,UK,,1,,2,,,,,,,International Society for Neurochemistry,ISN,USA,"Company of Biologists, UK",CB Uk,UK,"Cambridge Africa Alborada Research Funds, UK",CARF,UK,
68,35,Nigeria,West Africa,2018,Oxid Med Cell Longev. 2018 Dec 30;2018:8952646. doi: 10.1155/2018/8952646. eCollection 2018.,Effect of Alkaloid Extract from African Jointfir (Gnetum africanum) Leaves on Manganese-Induced Toxicity in Drosophila melanogaster,1,Primary,1,1,,0,Drosophilidae,"Oboh G, Ogunsuyi OB, Awonyemi OI, Atoki VA.",1,1,0,"Federal University of Technology Akure, Nigeria",CA Nigeria,,,,,,,,,,1,,2,,,,,,,The World Academy of Sciences,TWAS,Italy,,,,,,,
69,35,Nigeria,West Africa,2019,Biomed J. 2019 Oct;42(5):317-327. doi: 10.1016/j.bj.2019.01.005. Epub 2019 Oct 31.,Influence of gallic and tannic acid on therapeutic properties of acarbose inÂ vitro and inÂ vivo in Drosophila melanogaster,1,Primary,1,1,,0,Drosophilidae,"Oboh G, Ogunsuyi OB, Adegbola DO, Ademiluyi AO, Oladun FL.",1,1,0,"Federal University of Technology Akure, Nigeria",FUT Nigeria,,,,,,,,,,0,0,2,,,,,,,"Prince of Songkla University, Thailand",GSPSU,Thailand,,,,,,,
70,35,Nigeria,West Africa,2014,J Insect Sci. 2014;14:126. doi: 10.1093/jis/14.1.126.,"Effect of temperature on the development and survival of immature stages of the carambola fruit fly, Bactrocera carambolae, and the Asian papaya fruit fly, Bactrocera papayae, reared on guava diet",1,Primary,0,1,,0,Tephritidae,"Danjuma S, Thaochan N, Permkam S, Satasook C.",0,1,0,"Ibrahim Badamasi Babangida University, Nigeria",IBB Nigeria,,,,,1,,Thailand,,,1,"Education Trust Fund (ETF), Nigeria",1,ETF Nigeria,ETF Nigeria, Nigeria,,,,,,,,,,,,,
71,35,Nigeria,West Africa,2019,Pestic Biochem Physiol. 2019 Jun;157:161-168. doi: 10.1016/j.pestbp.2019.03.017. Epub 2019 Mar 28.,Possible involvement of transcriptional activation of nuclear factor erythroid 2-related factor 2 (Nrf2) in the protective effect of caffeic acid on paraquat-induced oxidative damage in Drosophila melanogaster,1,Primary,0,0,USA,0,Drosophilidae,"Dos Santos Nunes RG, Pereira PS, Elekofehinti OO, Fidelis KR, da Silva CS, Ibrahim M, Barros LM, da Cunha FAB, Lukong KE, de Menezes IRA, Tsopmo A, Duarte AE, Kamdem JP.",1,1,0,"Federal University of Technology Akure, Nigeria",NA Nigeria,,,,,1,,Brazil,Pakistan,Canada,1,,2,,,,,,, (PIBIC/ URCA),PIBIC/URCA,Brazil,The World Academy of Sciences,TWAS,Italy,The World Academy of Sciences,TWAS,Italy,
72,35,Nigeria,West Africa,2018,Metab Brain Dis. 2018 Apr;33(2):369-375. doi: 10.1007/s11011-017-0100-7. Epub 2017 Aug 28.,Curcumin-supplemented diets improve antioxidant enzymes and alter acetylcholinesterase genes expression level in Drosophila melanogaster model,1,Primary,1,1,,0,Drosophilidae,"Akinyemi AJ, Oboh G, Ogunsuyi O, Abolaji AO, Udofia A.",1,2,1," Afe Babalola University Ado-Ekiti, Nigeria",ABUA Nigeria,"Federal University of Technology, Akure","FUTA Akure, Nigeria",,,,,,,,1,,2,,,,,,,IBRO/ARC bursary,IBRO,France,,,,,,,
73,35,Nigeria,West Africa,2018,Genes Cancer. 2018 Jan;9(1-2):1-10. doi: 10.18632/genesandcancer.168.,Gastric cancer and Hedgehog signaling pathway: emerging new paradigms,1,Primary,0,0,,0,Drosophilidae,"Akyala AI, Peppelenbosch MP.",1,2,0,"Nasarawa State University Keffi Nasarawa, Nigeria",NSUK Nigeria,,,,,1,,Netherlands,,,1,TETFUND,0,,,,,,,,,,,,,,,,
74,35,Nigeria,West Africa,2018,Pestic Biochem Physiol. 2018 Feb;145:39-45. doi: 10.1016/j.pestbp.2018.01.002. Epub 2018 Jan 11.,"Garcinia kola seed biflavonoid fraction (Kolaviron), increases longevity and attenuates rotenone-induced toxicity in Drosophila melanogaster",1,Primary,1,0,USA,0,Drosophilidae,"Farombi EO, Abolaji AO, Farombi TH, Oropo AS, Owoje OA, Awunah MT.",1,1,0,"University of Ibadan, Nigeria","UI Ibadan, Nigeria",,,,,,,,,,1,TETFUND National Research Fund (NRF),0,,,,,,,,,,,,,,,,
75,35,Nigeria,West Africa,2015,Redox Biol. 2015 Aug;5:328-339. doi: 10.1016/j.redox.2015.06.001. Epub 2015 Jun 4.,"Ovotoxicants 4-vinylcyclohexene 1,2-monoepoxide and 4-vinylcyclohexene diepoxide disrupt redox status and modify different electrophile sensitive target enzymes and genes in Drosophila melanogaster",1,Primary,0,0,USA,0,Drosophilidae,"Abolaji AO, Kamdem JP, Lugokenski TH, Farombi EO, Souza DO, da Silva Loreto Ã‰L, Rocha JBT.",1,4,1,"University of Ibadan, Nigeria","UI Ibadan, Nigeria",,,,,1,,Brazil,,,1,,2,,,,,,,The World Academy of Sciences,TWAS,Italy,CAPES,CAPES,Brazil,FAPERGS,FAPERGS,Portugal,Rede Brasileira de Neurociências
76,35,Nigeria,West Africa,2017,Cell Biochem Funct. 2017 Apr;35(3):164-170. doi: 10.1002/cbf.3259. Epub 2017 Mar 16.,Dietary consumption of monosodium L-glutamate induces adaptive response and reduction in the life span of Drosophila melanogaster,1,Primary,1,0,Brasil,0,Drosophilidae,"Abolaji AO, Olaiya CO, Oluwadahunsi OJ, Farombi EO.",1,2,1,"University of Ibadan, Nigeria","UI Ibadan, Nigeria",Adekunle Ajasin University,"AAU, Ondo Nigeria",,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
77,35,Nigeria,West Africa,2018,Food Sci Nutr. 2018 Oct 26;6(8):2177-2187. doi: 10.1002/fsn3.782. eCollection 2018 Nov.,Effect of dietary inclusions of bitter kola seed on geotactic behavior and oxidative stress markers in Drosophila melanogaster,1,Primary,1,1,,0,Drosophilidae,"Oboh G, Ogunsuyi OB, Ojelade MT, Akomolafe SF.",1,2,1,"Federal University of Technology Akure, Nigeria","FUTA Akure, Nigeria",Ekiti State University,"ESU Ado-Ekiti, Nigeria",,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
78,35,Nigeria,West Africa,2018,Neuroscience. 2018 Mar 15;374:323-325. doi: 10.1016/j.neuroscience.2018.01.062. Epub 2018 Feb 8.,Advancing Neuroscience Research in Africa: Invertebrate Species to the Rescue,0,Primary,0,0,,0,Drosophilidae,"Balogun WG, Cobham AE, Amin A, Seeni A.",0,2,1,"University of Calabar, Nigeria",U Nigeria,University of Ilorin,"UI Ibadan, Nigeria",,,1,,Malaysia,Australia,Portugal,0,0,2,,,,,,,0,,,,,,,,,
79,35,Nigeria,West Africa,2016,Metab Brain Dis. 2016 Oct;31(5):1003-10. doi: 10.1007/s11011-016-9876-0. Epub 2016 Jul 22.,"Sweet old memories: a review of the experimental models of the association between diabetes, senility and dementia",0,Primary,1,0,,0,Drosophilidae,Akinola OB.,1,1,0,"University of Ilorin, Nigeria",U Nigeria,,,,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
80,35,Nigeria,West Africa,2019,Exp Biol Med (Maywood). 2019 Dec;244(18):1688-1694. doi: 10.1177/1535370219890334. Epub 2019 Nov 25.,"Protective role of resveratrol, a natural polyphenol, in sodium fluoride-induced toxicity in Drosophila melanogaster",1,Primary,1,1,,0,Drosophilidae,"Abolaji AO, Ajala VO, Adigun JO, Adedara IA, Kinyi HW, Farombi EO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,1,Uganda,,,,1,,2,,,,,,,Company of Biologists/ DrosAfrica (UK),UK,,Cambridge-Africa Alborada Research Funds U.K,CAARF,UK,,,,
81,35,Nigeria,West Africa,2017,Environ Toxicol Pharmacol. 2017 Oct;55:202-207. doi: 10.1016/j.etap.2017.08.038. Epub 2017 Sep 1.,"Hesperidin, a citrus bioflavonoid, alleviates trichloroethylene-induced oxidative stress in Drosophila melanogaster",1,Primary,1,0,Brasil,0,Drosophilidae,"Abolaji AO, Babalola OV, Adegoke AK, Farombi EO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,,,,,,1,0,2,,,,,,,0,,,,,,,,,
82,35,Nigeria,West Africa,2020,Toxicol Rep. 2020 Jan 27;7:261-268. doi: 10.1016/j.toxrep.2020.01.015. eCollection 2020.,Curcumin attenuates copper-induced oxidative stress and neurotoxicity in Drosophila melanogaster,1,Primary,1,0,Brasil,0,Drosophilidae,"Abolaji AO, Fasae KD, Iwezor CE, Aschner M, Farombi EO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,1,,U.S.A,,,1,,2,,,,,,,"International Centre for Genetic Engineering and Biotechnology (ICGEB), Italy",ICGEB,Italy,National Institute of Health (NIH),NIH,USA,,,,
83,35,Nigeria,West Africa,2016,Neurochem Res. 2016 Jun;41(6):1430-8. doi: 10.1007/s11064-016-1852-x. Epub 2016 Feb 15.,"Diphenyl Diselenide Protects Against Mortality, Locomotor Deficits and Oxidative Stress in Drosophila melanogaster Model of Manganese-Induced Neurotoxicity",1,Primary,0,0,USA,0,Drosophilidae,"Adedara IA, Abolaji AO, Rocha JB, Farombi EO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,1,,Brazil,,,1,,2,,,,,,,The World Academy of Sciences,TWAS,Italy,,,,,,,
84,35,Nigeria,West Africa,2020,J Food Biochem. 2020 Jun 11:e13318. doi: 10.1111/jfbc.13318. Online ahead of print.,"Modulatory effects of moringa (Moringa oleifera L.) leaves infested with African mistletoe (Tapinanthus bangwensis L.) on the antioxidant, antidiabetic, and neurochemical indices in high sucrose diet-induced diabetic-like phenotype in fruit flies (Drosophila melanogaster M.)",1,Primary,1,0,USA,0,Drosophilidae,"Oyeniran OH, Ademiluyi AO, Oboh G.",1,2,1,"Federal University of Technology Akure ,Nigeria",FUT Nigeria,Federal University Oye,"FUO Uye, Nigeria",,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
85,35,Nigeria,West Africa,2020,J Diet Suppl. 2020 Jun 4:1-15. doi: 10.1080/19390211.2020.1772441. Online ahead of print.,Pleurotus ostreatus and Lentinus subnudus supplemented diets restore altered acetylcholinesterase and butyrylcholinesterase activities and improve antioxidant status in transgenic Drosophila melanogaster model,1,Primary,1,1,,0,Drosophilidae,"Agunloye OM, Oboh G, Falade AO.",1,2,1,"Federal University of Technology Akure ,Nigeria",FUT Nigeria,"University of Medical Sciences, Ondo","UMS Ondo, Nigeria",,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
86,35,Nigeria,West Africa,2015,J Trace Elem Med Biol. 2015 Oct;32:52-9. doi: 10.1016/j.jtemb.2015.05.003. Epub 2015 May 22.,Influence of diphenyl diselenide on chlorpyrifos-induced toxicity in Drosophila melanogaster,1,Primary,0,0,USA,0,Drosophilidae,"Adedara IA, Klimaczewski CV, Barbosa NB, Farombi EO, Souza DO, Rocha JB.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,1,,Brazil,,,1,,2,,,,,,,The World Academy of Sciences,TWAS,Italy,FAPERGS-PRONEX-CNPQ,,,CNP-SWB,CNP-SWB,Indonesia,
