Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,Internal Colaboration,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Funded/Not funded,Number of Funders,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
87,35,Nigeria,West Africa,2014,Free Radic Biol Med. 2014 Jun;71:99-108. doi: 10.1016/j.freeradbiomed.2014.03.014. Epub 2014 Mar 26.,Involvement of oxidative stress in 4-vinylcyclohexene-induced toxicity in Drosophila melanogaster,1,Primary,0,0,USA,0,Drosophilidae,"Abolaji AO, Kamdem JP, Lugokenski TH, Nascimento TK, Waczuk EP, Farombi EO, Loreto Ã‰L, Rocha JB.",1,3,0,"University of Ibadan, Nigeria",U Nigeria,,,,,1,,Brazil,,,1,,2,,,,,,,The World Academy of Sciences,TWAS,Italy,CAPES,CAPES,Brazil,FAPERGS,FAPERGS,Portugal,Rede Brasileira de Neurociências
88,35,Nigeria,West Africa,2018,Genes (Basel). 2018 Mar 2;9(3):140. doi: 10.3390/genes9030140.,Pyrethroid Resistance in the Major Malaria Vector Anopheles funestus is Exacerbated by Overexpression and Overactivity of the P450 CYP6AA1 Across Africa,1,Primary,0,0,USA,1,Drosophilidae,"Ibrahim SS, Amvongo-Adjia N, Wondji MJ, Irving H, Riveron JM, Wondji CS.",1,4,0,"Bayero University Kano, Nigeria",BU Nigeria,,,,,1,Cameron,UK,,,1,,2,,,,,,,Wellcome Trust,WT,UK,Wellcome Trust,WT,UK,,,,
89,35,Nigeria,West Africa,2007,Vector Borne Zoonotic Dis. 2007 Summer;7(2):107-17. doi: 10.1089/vbz.2006.0539.,"Some aspects of epidemiology of filth flies: Musca domestica, Musca domestica vicina, Drosophilia melanogaster and associated bacteria pathogens in Ekpoma, Nigeria",1,Primary,1,1,,0,Drosophilidae,"Nmorsi OP, Agbozele G, Ukwandu NC.",0,1,0,"Ambrose Alli University, Nigeria",AA Nigeria,,,,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
90,35,Nigeria,West Africa,2020,Drug Chem Toxicol. 2020 Jan 3:1-10. doi: 10.1080/01480545.2019.1708377. Online ahead of print.,Effect of Andrographis paniculata and Phyllanthus amarus leaf extracts on selected biochemical indices in Drosophila melanogaster model of neurotoxicity,1,Primary,1,1,,0,Drosophilidae,"Adedayo BC, Ogunsuyi OB, Akinniyi ST, Oboh G.",1,1,0,"Federal University of Technology Akure, Nigeria",FUT Nigeria,,,,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
91,35,Nigeria,West Africa,2020,Food Chem Toxicol. 2020 Jun 3:111478. doi: 10.1016/j.fct.2020.111478. Online ahead of print.,Luteolin-Supplemented Diets Ameliorates Bisphenol A-Induced Toxicity in Drosophila melanogaster,1,Primary,1,1,,0,Drosophilidae,"Adesanoye OA, Abolaji AO, Faloye TR, Olaoye HO, Adedara AO.",1,1,0,"University of Ibadan, Nigeria",U Nigeria,,,,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
92,35,Nigeria,West Africa,2020,J Food Biochem. 2020 Jan 16:e13150. doi: 10.1111/jfbc.13150. Online ahead of print.,"Solanum vegetable-based diets improve impairments in memory, redox imbalance, and altered critical enzyme activities in Drosophila melanogaster model of neurodegeneration",1,Primary,1,0,USA,0,Drosophilidae,"Ogunsuyi OB, Oboh G, Ã–zek G, GÃ¶ger F.",1,1,0,"Federal University of Technology Akure, Nigeria",FUT Nigeria,,,,,1,,Turkey,,,0,0,2,,,,,,,0,,,,,,,,,
93,35,Nigeria,West Africa,2020,Comput Struct Biotechnol J. 2020 Mar 10;18:612-621. doi: 10.1016/j.csbj.2020.02.022. eCollection 2020.,Essential gene prediction in Drosophila melanogaster using machine learning approaches based on sequence and functional features,1,Primary,0,3,,0,Drosophilidae,"Aromolaran O, Beder T, Oswald M, Oyelade J, Adebiyi E, Koenig R.",1,1,0,"Covenant University, Nigeria",C Nigeria,,,,,1,,Germany,,,1,,2,,,,,,,Deutsche Forschungsgemein-schaft,DFS,Germany,,,,,,,
94,35,Nigeria,West Africa,2020,Drug Chem Toxicol. 2020 Jun 16:1-10. doi: 10.1080/01480545.2020.1773845. Online ahead of print.,Characterization and neuroprotective properties of alkaloid extract of Vernonia amygdalina Delile in experimental models of Alzheimer's disease,1,Primary,1,0,USA,1,Drosophilidae,"Oboh G, Adedayo BC, Adetola MB, Oyeleye IS, Ogunsuyi OB.",1,1,0,"Federal University of Technology Akure, Nigeria",FUT Nigeria,,,,,,,,,,1,Tertiary Educational Trust Fund (TETfund),2,,,,,,,0,,,,,,,,,
95,35,Nigeria,West Africa,2003,Res Microbiol. 2003 Apr;154(3):183-9. doi: 10.1016/S0923-2508(03)00040-8.,Invasion of insect blood tissue by Xenorhabdus bovienii,1,Primary,0,0,,0,Drosophilidae,Owuama CI.,0,1,0,"Federal University of Technology Yola, Nigeria",FUT Nigeria,,,,,1,,Australia,,,0,0,2,,,,,,,0,,,,,,,,,
96,35,Nigeria,West Africa,1996,Hereditas. 1996;125(1):83-7. doi: 10.1111/j.1601-5223.1996.00083.x.,"Genetic load in chromosomes 3 in a population of Drosophila melanogaster in Lagos, Nigeria",1,Primary,1,1,,0,Drosophilidae,"Williams GO, Banboye ER.",0,1,0,"University of Lagos, Nigeria",U Nigeria,,,,,,,,,,1,Central Research Committee of the University of Lagos,2,,,,,,,0,,,,,,,,,
97,35,Nigeria,West Africa,1990,Theor Appl Genet. 1990 Oct;80(4):569-75. doi: 10.1007/BF00226762.,Heterosis in crosses between geographically separated populations of Drosophila melanogaster,1,Primary,0,1,,0,Drosophilidae,"Ehiobu NG, Goddard ME.",0,2,0,"University of Jos, Nigeria","UJ Jos, Nigeria",,,,,1,,Australia,,,1,,2,,,,,,,James Cook University of North Queensland,JCU,Australia,,,,,,,
98,35,Nigeria,West Africa,2020,,"Comparative study of the phenolic profile, antioxidant properties, and inhibitory effects of Moringa (Moringa oleifera Lam.) and Almond (Terminalia catappa Linn.) leaves on acetylcholinesterase and monoamine oxidase activities in the head region of Fruitfly (Drosophila melanogaster Meigen) in vitro",1,Primary,1,0,USA,0,Drosophilidae,"Oyeniran OH, Ademiluyi AO, Oboh G.",1,2,1,"Federal University of Technology Akure, Nigeria",FUTA Nigeria,Federal University of Oye,"FUO Uye, Nigeria",,,,,,,,0,0,2,,,,,,,0,,,,,,,,,
99,44,South Africa,Southaern Africa,2018,J Toxicol,Sublethal Effects of Ionic and Nanogold on the Nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,1,0,"North-West University, South Africa",NWU South Africa,,,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Department of Science and Technology’s Nanogold Research Programme.,DSTNRP,,,,,,,,,,,
100,44,South Africa,Southaern Africa,2015,Front Pharmacol,"Antimicrobial, Anthelmintic Activities and Characterisation of Functional Phenolic Acids of Achyranthes aspera Linn.: A Medicinal Plant Used for the Treatment of Wounds and Ringworm in East Africa",1,Primary,1,1,,1,Rhabditidae,,0,2,1,"University of KwaZulu-Natal, South Africa","UKZN Natal, South Africa",Agricultural Research Council,ARC South Africa,,,2,,Palack? University,Czech Republic,,1,4,3,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa," University of
KwaZulu-Natal, South Africa ","UKNSA, South Africa ",South Africa ,"Ministry of Education
Youth and Sports, Czech Republic",MEYS Czech Republic,Czech Republic,Palacky University,PU,Czech Republic,,,,
101,44,South Africa,Southaern Africa,2009,Onderstepoort J Vet Res,Curtisia dentata (Cornaceae) leaf extracts and isolated compounds inhibit motility of parasitic and free-living nematodes,1,Primary,1,1,,0,Rhabditidae,,0,3,1,"University of Pretoria, South Africa",TP South Africa,University of Limpopo,UL Limpopo South Africa,University of South Africa,USA,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Claude Leon Foundation,"CLF, South Africa ",South Africa ,,,,,,,,,,
102,44,South Africa,Southaern Africa,2020,Sci Rep,Oxygen consumption rate of Caenorhabditis elegans as a high-throughput endpoint of toxicity testing using the Seahorse XF(e)96 Extracellular Flux Analyzer,1,Primary,1,0,USA,1,Rhabditidae,,0,6,2,"North-West University, South Africa",NWU South Africa,Agricultural Research Council,ARC South Africa,,,3,,Germany,Czech Republic,,0,,0,,,,,,,,,,,,,,,,
103,44,South Africa,Southaern Africa,2012,J Ethnopharmacol,"Pharmacological, genotoxic and phytochemical properties of selected South African medicinal plants used in treating stomach-related ailments",1,Primary,1,1,,0,Rhabditidae,,0,1,,"University of KwaZulu-Natal , South Africa","UKZN Natal, South Africa",,,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of KwaZulu-Natal ,"UKN, South Africa ",,,,,,,,,,,
104,44,South Africa,Southaern Africa,2010,J Ethnopharmacol,"In vitro antimicrobial, anthelmintic and cyclooxygenase-inhibitory activities and phytochemical analysis of Leucosidea sericea",1,Primary,1,1,,1,Rhabditidae,,0,1,,"University of KwaZulu-Natal, South Africa","UKZN Natal, South Africa",,,,,1,,Australia,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of KwaZulu-Natal,"UKN, South Africa ",,,,,,,,,,,
105,44,South Africa,Southaern Africa,2000,J Ethnopharmacol,"Antibacterial, anthelmintic and anti-amoebic activity in South African medicinal plants",1,Primary,1,1,,0,Rhabditidae,,0,1,,"University of Natal, South Africa","UN Natal, South Africa",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
106,44,South Africa,Southaern Africa,2007,Vet J,"In vitro anthelmintic, antibacterial and cytotoxic effects of extracts from plants used in South African ethnoveterinary medicine",1,Primary,1,1,,0,Rhabditidae,,0,2,1,"University of Pretoria, South Africa",UP South Africa,ARC-Onderstepoort Veterinary Institute,ARC OVI South Africa,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of Pretoria ,"UP, South Africa ",South Africa ,,,,,,,,,,
107,44,South Africa,Southaern Africa,2017,BMC Vet Res,The use of primary murine fibroblasts to ascertain if Spirocerca lupi secretory/excretory protein products are mitogenic ex vivo,1,Primary,1,1,,0,Rhabditidae,,0,1,,"University of Pretoria, South Africa",UP South Africa,,,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of Pretoria ,"UP, South Africa ",South Africa ,,,,,,,,,,
108,44,South Africa,Southaern Africa,2013,Comp Biochem Physiol Part D Genomics Proteomics,The Leu-Arg-Glu (LRE) adhesion motif in proteins of the neuromuscular junction with special reference to proteins of the carboxylesterase/cholinesterase family,1,Primary,1,3,,,Rhabditidae,,0,1,,"Stellenbosch University, South Africa", SU Stellenbosch South Africa,,,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Medical Research Council of South Africa,MRC South Africa ,South Africa ,,,,,,,,,,
109,44,South Africa,Southaern Africa,2019,,How toxic is a non-toxic nanomaterial: Behaviour as an indicator of effect in Danio rerio exposed to nanogold,1,Primary,1,1,,0,Cyprinidae,"Botha TL, Brand SJ, Ikenaka Y, Nakayama SMM, Ishizuka M, Wepener V.",0,2,1,"North-West University, South Africa",NWU South Africa,University of Johannesburg,"UOJ Johannesburg, South Africa",,,1,,Japan,,,1,4,3,"North-West University, South Africa",NWU South Africa,,,,,"Ministry of Education, Culture, Sports, Science and
Technology of Japan",MECSST Japan,Japan,The foundation of JSPS Core to Core Program,JSPSCCP,Japan,"Bilateral Joint
Research Project",,,
110,44,South Africa,Southaern Africa,2020,Behav Brain Res,Dopaminergic and serotonergic modulation of social reward appraisal in zebrafish (Danio rerio) under circumstances of motivational conflict: Towards a screening test for anti-compulsive drug action,1,Primary,1,0,Singapore,0,Cyprinidae,,1,1,,"North-West University, South Africa",NWU South Africa,,,,,1,,Germany,,,0,,0,,,,,,,,,,,,,,,,
111,44,South Africa,Southaern Africa,2019,Environ Monit Assess,"Cultivable bacterial diversity, physicochemical profiles, and toxicity determination of car wash effluents",1,Primary,1,1,,0,Cyprinidae,,0,1,,"University of South Africa, South Africa","USA, South Africa",,,,,1,Namibia,,,,1,1,1,University of South Africa,USA South Africa,South Africa,,,,,,,,,,,,,
112,44,South Africa,Southaern Africa,2019,Toxicol Lett,Effect of pH on the toxicity of fumonisins towards the RTL-W1 cell line and zebrafish (Danio rerio) embryos,1,Primary,1,1,,0,Cyprinidae,,0,1,,"Tshwane University of Technology, South Africa","TUT Tshwane, South Africa",,,,,1,,Germany,,,1,2,1,The South African Maize Trust,SAMT South Africa,South Africa,Tshwane University of Technology,"TUT, South Africa ",South Africa ,,,,,,,,,,
113,44,South Africa,Southaern Africa,2012,Acta Histochem,Spectrin labeling during oogenesis in zebrafish (Danio rerio),1,Primary,1,1,UK,0,Cyprinidae,,0,2,1,"Walter Sisulu University, South Africa","WSU, South Africa",University of the Witwatersrand,"UW Witwatersrand, South Africa",,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of the Witwatersrand,"UW, South Africa ",South Africa ,,,,,,,,,,
114,44,South Africa,Southaern Africa,2013,Acta Histochem,DNA and RNA pattern of staining during oogenesis in zebrafish (Danio rerio): a confocal microscopy study,1,Primary,1,1,,0,Cyprinidae,,0,1,,"Walter Sisulu University, South Africa","WSU, South Africa",,,,,,,,,,1,2,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of the Witwatersrand,"UW, South Africa ",South Africa ,,,,,,,,,,
115,44,South Africa,Southaern Africa,2020,Sci Rep,"Polyethylene glycol (5,000) succinate conjugate of lopinavir and its associated toxicity using Danio rerio as a model organism",1,Primary,1,1,,0,Cyprinidae,,0,1,,"North-West University, South Africa",NWU South Africa,,,,,,,,,,1,2,1,Sasol Inzalo Foundation,"SIF, South Africa",South Africa,National Research Foundation South Africa ,"NRF, South Africa ",South Africa ,,,,,,,,,,
116,48,Tanzania,East Africa,2012,J Insect Sci,Indigenous and invasive fruit fly diversity along an altitudinal transect in Eastern Central Tanzania,1,Primary,1,1,,0,Tephritidae,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,1,,,Belgium,,0,,0,,,,,,,,,,,,,,,,
117,48,Tanzania,East Africa,2009,Bull Entomol Res,"Host range and distribution of fruit-infesting pestiferous fruit flies (Diptera, Tephritidae) in selected areas of Central Tanzania",1,Primary,1,1,,0,Tephritidae,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,1,,,Belgium,,1,1,2,,,,,,,Belgium development cooperation,BDC,Belgium,,,,,,,
118,48,Tanzania,East Africa,2018,Insects,Spatial Distribution of Bactrocera dorsalis and Thaumatotibia leucotreta in Smallholder Avocado Orchards along Altitudinal Gradient of Taita Hills and Mount Kilimanjaro,1,Primary,1,1,,0,Tephritidae,Bactrocera dorsalis ,0,6,0,"dar es salaam institute of technology , Tanzania","DIT Dar es salaam, Tanzania",,,,,2,Kenya,Part of the research,,Finland,1,1,2,,,,,,,Ministry of foreign affairs of finland,MFA,Finland,,,,,,,
119,48,Tanzania,East Africa,2015,J Insect Sci,Developmental Biology of Zeugodacus cucurbitae (Diptera: Tephritidae) in Three Cucurbitaceous Hosts at Different Temperature Regimes,1,Primary,1,1,,0,Tephritidae,Zeugodacus cucurbitae,0,2,1,"LZARDI, Tanzania",LZARDI Tanzania,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,,,,1,2,3,Government of united republic of tanzania ,GURT Tanzania ,Tanzania,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,,,,
120,48,Tanzania,East Africa,2014,Bull Entomol Res,"Dominance of an invasive fruit fly species, Bactrocera invadens, along an altitudinal transect in Morogoro, Eastern Central Tanzania",1,Primary,1,1,,0,Tephritidae,Bactrocera invadens,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,Belgium,,1,2,2,,,,,,,flemish inter-university council VLIR  ,FIUS,Belgium,Belgium development cooperation,BDC,Belgium,,,,
121,48,Tanzania,East Africa,2010,J Econ Entomol,"Host use of Bactrocera latifrons, a new invasive tephritid species in Tanzania",1,Primary,1,1,,0,Tephritidae,Bactrocera latifrons,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,Belgium,,1,2,2,,,,,,,Belgian technical cooperation  ,BTC,Belgium,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
122,48,Tanzania,East Africa,2015,Zookeys,"Niche partitioning among two Ceratitis rosa morphotypes and other Ceratitis pest species (Diptera, Tephritidae) along an altitudinal transect in Central Tanzania",1,Primary,1,1,,0,Tephritidae,Ceratitis rosa,0,2,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,Belgium,,1,2,2,,,,,,,FAO,FAO,Italy,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
123,51,Tunisia,North Africa,2020,Dev Genes Evol,Gene duplication and functional divergence of the zebrafish otospiralin genes,1,Primary,1,1,,0,Cyprinidae,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",COB Tunisia,,,,,1,,Germany,,,1,2,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,The German Federal Ministry of Education and Research,GMER,Germany,,,,,,,
124,51,Tunisia,North Africa,2011,Biometals,Mechanisms underlying the protective effect of zinc and selenium against cadmium-induced oxidative stress in zebrafish Danio rerio,1,Primary,1,1,,0,Cyprinidae,,0,2,1,"Université de Sousse, Tunisia",US Tunisia,Université de Monastir,"UM, Monastir Tunisia",,,,,,,,1,3,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
125,51,Tunisia,North Africa,2011,Chem Biol Interact,Cadmium-induced ovarian pathophysiology is mediated by change in gene expression pattern of zinc transporters in zebrafish (Danio rerio),1,Primary,1,1,,0,Cyprinidae,,0,2,1,"Université de Sousse, Tunisia",US Tunisia,Université de Monastir,"UM, Monastir Tunisia",,,,,,,,1,3,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
126,51,Tunisia,North Africa,2019,Med Biol Eng Comput,The Helitron family classification using SVM based on Fourier transform features applied on an unbalanced dataset,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,,0,,0,,,,,,,,,,,,,,,,
127,51,Tunisia,North Africa,2015,Med Biol Eng Comput,A new way to visualize DNA's base succession: the Caenorhabditis elegans chromosome landscapes,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,,0,,0,,,,,,,,,,,,,,,,
128,51,Tunisia,North Africa,2015,Proteins,Exploring proteome-wide occurrence of clusters of charged residues in eukaryotes,1,Primary,1,3,,0,Rhabditidae,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",COB Sfax Tunisia,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
129,51,Tunisia,North Africa,2014,EURASIP J Bioinform Syst Biol,Wavelet analysis of frequency chaos game signal: a time-frequency signature of the C. elegans DNA,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,,0,,0,,,,,,,,,,,,,,,,
130,51,Tunisia,North Africa,2018,PLoS One,Evaluation of Providencia rettgeri pathogenicity against laboratory Mediterranean fruit fly strain (Ceratitis capitata),1,Primary,1,1,,1,Tephritidae,,0,2,0,"National centre of nuclear sciences and technologies, Tunisia",NCNST Tunisia,,,,,1,,,France,,0,,0,,,,,,,,,,,,,,,,
131,51,Tunisia,North Africa,2018,Hum Mutat,In vitro functional characterization of the novel DHH mutations p.(Asn337Lysfs*24) and p.(Glu212Lys) associated with gonadal dysgenesis,1,Primary,1,1,,0,Drosophilidae,,0,5,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",Charles Nicolle Hospital,CNH Tunisia,,,2,,,Germany,Germany,1,1,2,,,,,,,"University of luebeck, Germany ",UL,Germany,,,,,,,
132,51,Tunisia,North Africa,2016,Naturwissenschaften,Characterization of irritans mariner-like elements in the olive fruit fly Bactrocera oleae (Diptera: Tephritidae): evolutionary implications,1,Primary,1,1,,0,Tephritidae,,0,4,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",University de Tunis,UOT Tunisia,,,2,,,France,France,1,2,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,French Ministries of Higher Education and Scientific research,FMHESR,France,,,,,,,
133,51,Tunisia,North Africa,2013,J Econ Entomol,Fitness improvement of mass-reared sterile males of Ceratitis capitata (Vienna 8 strain) (Diptera: Tephritidae) after gut enrichment with probiotics,1,Primary,1,1,,1,Tephritidae,,0,1,0,"National centre of nuclear sciences and technologies, Tunisia",NCNST Tunisia,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
134,52,Uganda,East Africa,2018,Evid Based Complement Alternat Med,Combined Donepezil and Ethanolic Extract of Propolis Improved Memory Better Than Donepezil and Propolis Monotherapy in Wild Type Drosophila melanogaster,1,Primary,1,0,USA,0,Drosophilidae,,1,2,1,"Kampala International University, Uganda",KIU Uganda,Augustine international university,AIU Uganda,,,,,,,,0,,0,,,,,,,,,,,,,,,,
135,52,Uganda,East Africa,2018,BMC Res Notes,Low concentrations of monosodium glutamate (MSG) are safe in male Drosophila melanogaster,1,Primary,1,0,USA,1,Drosophilidae,,1,2,1,"Kampala International University, Uganda",KIU Uganda,Makerere University,MU Uganda,,,,,,,,0,,0,,,,,,,,,,,,,,,,
136,52,Uganda,East Africa,2019,BMC Res Notes,Low concentrations of Lactobacillus rhamnosus GG (Yoba(Â®)) are safe in male Drosophila melanogaster,1,Primary,1,0,USA,1,Drosophilidae,,1,3,2,"Kampala International University, Uganda",KIU Uganda,Kabale University,KU Uganda,Makerere University,MU,,,,,,0,,0,,,,,,,,,,,,,,,,
137,52,Uganda,East Africa,2009,PLoS One,Searching for new clues about the molecular cause of endomyocardial fibrosis by way of in silico proteomics and analytical chemistry,1,Primary,1,3,,0,Rhabditidae,,0,1,0,"Makerere University, Uganda",MU Uganda,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
138,54,Zimbabwe,Southaern Africa,2019,Sci Rep,"Fruit fly identification, population dynamics and fruit damage during fruiting seasons of sweet oranges in Rusitu Valley, Zimbabwe",1,Primary,1,1,,0,Tephritidae,,0,4,0,"Chinhoyi University of Technology, Zimbabwe",CUT Zimbabwe,,,,,3,,Portugal,Portugal,Portugal,1,1,2,,,,,,,Porto neurosciences and neurologic disease research initiative,PNNDRI,Portugal,,,,,,,
139,54,Zimbabwe,Southaern Africa,2017,Chemosphere,"Vitellogenin induction and reduced fecundity in zebrafish exposed to effluents from the City of Bulawayo, Zimbabwe",1,Primary,1,1,,0,Cyprinidae,,0,1,0,"National University of Science and Technology, Zimbabwe",NUST Zimbabwe,,,,,,,,,,1,1,2,,,,,,,Uppsala University,,,,,,,,,
